 "ticks" "state 0" "state 1" "state 2" "state 3" "state 4" "bioenergy success"
 0 6 8 17 11 8 25181.7225
 1 7 6 17 11 9 24331.58332549436
 2 6 8 16 12 8 23767.76999991795
 3 7 6 17 12 8 23009.646689518915
 4 7 6 17 13 7 22203.08777411229
 5 7 6 17 13 7 21565.12497621264
 6 6 7 17 13 7 20937.816181855327
 7 5 8 16 14 7 20440.627313090492
 8 6 6 17 14 7 19769.69479043863
 9 6 6 17 13 8 19057.632979254122
 10 5 8 16 14 7 18493.400625570564
 11 5 7 17 14 7 17964.631722698847
 12 5 7 17 14 7 17164.11219843441
 13 5 7 17 13 8 16549.664998859855
 14 5 7 17 14 7 15825.909484966094
 15 6 8 16 13 7 15211.582085994793
 16 5 6 16 14 9 14679.486501848834
 17 6 6 17 14 7 14020.728342117789
 18 5 8 16 13 8 13650.161283163588
 19 5 7 17 14 7 12881.345340118327
 20 5 6 17 14 8 12362.033788149201
 21 5 6 17 14 8 11785.11137263763
 22 6 5 17 13 9 10983.096333308966
 23 6 6 17 13 8 10363.977823636664
 24 6 6 16 14 8 9880.843434366696
 25 6 5 17 14 8 9141.823853766162
 26 6 5 17 14 8 8449.06641550162
 27 6 5 17 14 8 7735.454478599882
 28 6 6 16 13 9 7287.164927738385
 29 6 5 17 14 8 6539.411649080924
 30 5 6 17 14 8 5946.529714290162
 31 5 7 16 14 8 5298.80788298312
 32 5 6 17 13 9 4779.416753471138
 33 5 5 17 14 9 3897.9776807993753
 34 6 5 17 13 9 3209.1448764488446
 35 6 4 17 14 9 2534.444426353702
 36 6 4 17 14 9 1807.7640624625224
 37 6 4 16 15 9 1097.6969069192278
 38 6 5 15 15 9 578.9193836377893
 39 6 5 14 14 11 228.3425842037188
 40 5 5 15 15 10 -263.06986802534755
 41 6 4 15 14 11 -752.0041795798207
 42 5 5 15 15 10 -1184.4897719159426
 43 6 7 14 14 9 -1505.460550586149
 44 6 5 16 15 8 -2135.9253708026295
 45 6 5 16 15 8 -2745.849514952903
 46 6 6 15 15 8 -3198.6987458231683
 47 5 6 16 15 8 -3814.9968057793258
 48 6 5 16 15 8 -4455.186108655768
 49 5 7 16 14 8 -4902.283131888645
 50 5 6 16 14 9 -5406.948762163706
 51 5 6 16 14 9 -6008.38484765035
 52 5 6 16 15 8 -6566.0282224076755
 53 5 5 16 15 9 -7153.035876605925
 54 5 5 16 15 9 -7603.291823152275
 55 6 4 16 15 9 -8424.286927860847
 55 6 5 16 14 9 -9017.556414060417
 56 6 4 16 15 9 -9638.903514051406
 57 5 5 16 15 9 -10107.40473871359
 58 6 4 16 15 9 -10708.414908348142
 59 6 4 16 14 10 -11262.979134464536
 60 6 4 16 14 10 -11813.474704098
 61 5 5 16 15 9 -12288.132290540752
 62 5 6 16 15 8 -12678.702603591404
 63 6 6 16 14 8 -13119.21708305961
 64 6 5 16 15 8 -13564.182437784346
 65 6 6 15 15 8 -13997.103498932593
 66 5 6 16 15 8 -14373.420441328046
 67 5 6 16 15 8 -14865.605301847641
 68 5 6 16 14 9 -15233.876006268732
 69 5 6 15 14 10 -15557.85946263396
 70 5 6 16 15 8 -16057.117082894025
 71 5 6 15 15 9 -16470.111526585944
 72 5 5 15 15 10 -16835.326138707725
 73 5 6 15 14 10 -17199.99997574285
 74 6 4 15 15 10 -17780.62636973531
 75 6 4 15 15 10 -18325.39823664879
 76 6 4 15 14 11 -18640.333071415225
 77 5 5 15 15 10 -19022.82426036081
 78 6 4 15 15 10 -19591.664408131463
 79 6 4 16 14 10 -19984.510902015423
 80 6 5 15 15 9 -20440.217815748383
 81 5 5 16 15 9 -20866.484534444757
 82 5 5 16 15 9 -21242.590889234598
 83 6 4 16 14 10 -21671.571316406833
 84 6 4 16 15 9 -22197.82650391006
 85 6 4 16 15 9 -22832.73047842355
 86 6 4 16 15 9 -23439.934540362992
 87 6 5 16 15 8 -24022.106562714755
 88 6 5 15 14 10 -24309.31866232217
