 "year" "mean season Bio-E" "fcm convergence" "probability of mutation" "mutated?" "recombined?" "decay-rate" "energy-gain" "ndvi-weight" "caribou-veg-factor" "caribou-rough-factor" "caribou-insect-factor" "caribou-modifier-factor" "caribou-deflection-factor" "caribou-precip-factor" "solution success"
 0 -413014.7270283952 0 -0.023776476015191672 0 0 0.908 0.281 0.847 0.403 0.133 0.329 0.785 0.756 0.043 0.047552952030383344
 1 863953.2328525633 0 -0.48640075456365045 0 0 0.908 0.281 0.847 0.403 0.133 0.329 0.785 0.756 0.043 0.9728015091273009
 2 1469579.7029281016 0.21999999999999997 -0.03409294095584903 0 0 0.908 0.281 0.847 0.403 0.133 0.329 0.785 0.756 0.043 0.508185881911698
 3 2675416.787230907 0.31999999999999995 0.31999999999999995 0 0 0.908 0.281 0.847 0.403 0.133 0.329 0.785 0.756 0.043 0
 4 2891638.029189157 0.31999999999999995 0.31999999999999995 0 0 0.908 0.281 0.847 0.403 0.133 0.329 0.785 0.756 0.043 0
 5 3218541.8021739526 0.36 0.36 0 0 0.908 0.281 0.847 0.403 0.133 0.329 0.785 0.756 0.043 0
 6 3373350.02726998 0.48 0.48 1 0 0.908 0.281 0.847 0.403 0.133 0.329 0.785 0.756 0.043 0
 7 1.8061769123593982E7 0.30000000000000004 0.30000000000000004 0 0 0.55 0.5810000000000001 1 0.7030000000000001 0 0 0.42700000000000005 0.256 0 0
 8 1.5911341744190114E7 0.42000000000000004 0.42000000000000004 1 0 0.55 0.5810000000000001 1 0.7030000000000001 0 0 0.42700000000000005 0.256 0 0
 9 1.2386531215170406E7 0.6 0.6 1 0 0.9850000000000001 0.504 1 0.6260000000000001 0.03500000000000003 0 0.8620000000000001 0.29100000000000004 0.43500000000000005 0
 10 1.0672383061921684E7 0.74 0.74 1 0 1 0.598 1 0.4850000000000001 0 0 0.9560000000000001 0.385 0.5740000000000001 0
 11 1.656995353021704E7 0.76 0.76 1 0 1 0.40299999999999997 1 0.8960000000000001 0.09799999999999998 0 0.7610000000000001 0.796 0.672 0
 12 1.1493759651682708E7 0.74 0.74 1 0 1 0.591 1 0.4910000000000001 0 0.18799999999999994 0.3560000000000001 1 1 0
 13 3.513777096952304E7 0.74 0.74 1 0 1 1 1 0.7660000000000001 0.275 0.31299999999999994 0.4810000000000001 1 1 0
 14 4.085466230688981E7 0.72 0.72 0 0 1 0.8420000000000001 1 1 0.11700000000000005 0.3819999999999999 0.55 1 0.8420000000000001 0
 15 4.0331743683962695E7 0.78 0.78 1 0 1 0.8420000000000001 1 1 0.11700000000000005 0.3819999999999999 0.55 1 0.8420000000000001 0
 16 4.74679657318981E7 0.88 0.88 1 0 1 1 1 1 0.5110000000000001 0.4849999999999999 0.653 1 1 0
 17 4.8072335744475335E7 0.84 0.84 1 0 1 1 1 1 0.14400000000000013 0.8949999999999999 0.28600000000000003 0.633 1 0
 18 4.825967485729976E7 0.8200000000000001 0.8200000000000001 1 0 0.589 1 1 1 0.21600000000000008 0.4839999999999999 0.736 0.705 0.589 0
 19 2.7789059361374527E7 0.8 0.8 0 0 0.747 0.575 1 1 0.55 0.058999999999999886 0.894 1 0.16399999999999998 0
 20 2.9141284484365594E7 0.8 0.8 1 0 0.747 0.575 1 1 0.55 0.058999999999999886 0.894 1 0.16399999999999998 0
 21 3.7673375151282705E7 0.74 0.74 0 0 0.897 0.7749999999999999 1 1 0.75 0.25899999999999984 1 1 0.48399999999999993 0
 22 3.8033501115409225E7 0.62 0.62 1 0 0.897 0.7749999999999999 1 1 0.75 0.25899999999999984 1 1 0.48399999999999993 0
 23 4.130708975526757E7 0.5 0.5 1 0 0.766 0.817 1 1 0.619 0 0.649 0.649 0.3529999999999999 0
 24 1.4669592401582275E7 0.45999999999999996 0.45999999999999996 0 0 0.6859999999999999 0.32099999999999995 0.504 0.86 0.123 0 0.509 0.509 0.2729999999999999 0
 25 1.458722853943559E7 0.5 0.5 0 0 0.6859999999999999 0.32099999999999995 0.504 0.86 0.123 0 0.509 0.509 0.2729999999999999 0
 26 1.4513022715549892E7 0.62 0.62 0 0 0.6859999999999999 0.32099999999999995 0.504 0.86 0.123 0 0.509 0.509 0.2729999999999999 0
 27 1.4261171584740689E7 0.6599999999999999 0.6599999999999999 0 0 0.6859999999999999 0.32099999999999995 0.504 0.86 0.123 0 0.509 0.509 0.2729999999999999 0
 28 1.4157202402029727E7 0.5800000000000001 0.5800000000000001 1 0 0.6859999999999999 0.32099999999999995 0.504 0.86 0.123 0 0.509 0.509 0.2729999999999999 0
 29 1.5037691185399227E7 0.5800000000000001 0.5800000000000001 0 0 0.585 0.30699999999999994 0.855 1 0.02200000000000002 0 0.495 0.40800000000000003 0.6239999999999999 0
 30 1.4853837119778482E7 0.6799999999999999 0.6799999999999999 1 0 0.585 0.30699999999999994 0.855 1 0.02200000000000002 0 0.495 0.40800000000000003 0.6239999999999999 0
 31 -4344199.609601879 0.76 0.76 0 0 0.43099999999999994 0.05899999999999994 0.701 1 0 0.278 0.773 0.16000000000000003 0.46999999999999986 0
 32 -4015896.5202619983 0.74 0.74 1 0 0.43099999999999994 0.05899999999999994 0.701 1 0 0.278 0.773 0.16000000000000003 0.46999999999999986 0
 33 -7978621.742499999 0.76 0.76 0 0 0 0 0.603 0.884 0 0.16200000000000003 0.675 0 0.3719999999999999 0
 34 -7977741.9475 0.74 0.74 0 0 0 0 0.603 0.884 0 0.16200000000000003 0.675 0 0.3719999999999999 0
 35 -7976246.296 0.7 0.7 0 0 0 0 0.603 0.884 0 0.16200000000000003 0.675 0 0.3719999999999999 0
 36 -7977302.05 0.76 0.76 1 0 0 0 0.603 0.884 0 0.16200000000000003 0.675 0 0.3719999999999999 0
