 "ticks" "who" "xcor" "ycor"
 8 4575 -4 -4
 8 4557 -2 -4
 8 4574 0 -3
 8 4565 -2 -4
 8 4562 -4 -4
 8 4552 -4 -4
 8 4573 -4 -4
 8 4543 -4 -4
 8 4567 -4 -4
 8 4542 -4 -4
 8 4549 3 -1
 8 4560 -4 -4
 8 4554 -4 -4
 8 4555 -4 -4
 8 4550 -2 -4
 8 4564 -4 -4
 8 4546 -4 -4
 8 4545 -4 -4
 8 4544 3 -1
 8 4547 -2 -4
 8 4561 -4 -4
 8 4563 2 -5
 8 4541 -4 -4
 8 4558 -4 -4
 8 4548 -2 -4
 9 4568 -3 -4
 9 4571 -4 -3
 9 4549 2 -2
 9 4545 -4 -5
 9 4569 -4 -5
 9 4564 -4 -5
 9 4555 -4 -3
 9 4550 -3 -4
 9 4553 -4 -3
 9 4565 -3 -4
 9 4541 -4 -5
 9 4558 -4 -5
 9 4566 -4 -3
 9 4546 -4 -5
 9 4552 -4 -5
 9 4560 -4 -3
 9 4544 2 -2
 9 4574 0 -3
 9 4556 -4 -5
 9 4543 -4 -3
 9 4567 -4 -3
 9 4547 -3 -4
 9 4559 -1 -3
 9 4562 -4 -3
 9 4563 1 -6
 9 4548 -3 -4
 9 4554 -4 -5
 9 4575 -4 -5
 9 4557 -3 -4
 9 4572 -3 -4
 9 4551 -4 -4
 9 4542 -4 -3
 9 4561 -4 -5
 9 4573 -4 -3
 9 4570 -4 -3
 10 4547 -4 -5
 10 4569 -4 -6
 10 4564 -4 -6
 10 4546 -4 -6
 10 4554 -4 -6
 10 4553 -4 -2
 10 4560 -5 -3
 10 4544 1 -1
 10 4575 -4 -6
 10 4573 -5 -3
 10 4574 0 -3
 10 4541 -4 -6
 10 4567 -5 -3
 10 4557 -4 -5
 10 4552 -4 -6
 10 4550 -4 -5
 10 4555 -5 -3
 10 4563 0 -7
 10 4572 -4 -5
 10 4558 -4 -6
 10 4566 -5 -3
 10 4559 -1 -3
 10 4568 -4 -5
 10 4549 1 -1
 10 4556 -4 -6
 10 4571 -4 -2
 10 4548 -4 -5
 10 4561 -4 -6
