 "year" "mean season Bio-E" "fcm convergence" "probability of mutation" "mutated?" "recombined?" "decay-rate" "energy-gain" "ndvi-weight" "caribou-veg-factor" "caribou-rough-factor" "caribou-insect-factor" "caribou-modifier-factor" "caribou-deflection-factor" "caribou-precip-factor" "solution success"
 0 1.6981030328903094E7 0 0 0 0 0.979 0.645 0.575 0.894 0.133 0.506 0.406 0.133 0.4 0
 1 1.9812253844059896E7 0 0 0 0 0.979 0.645 0.575 0.894 0.133 0.506 0.406 0.133 0.4 0
 2 2.127770922193682E7 0.54 0.54 0 0 0.979 0.645 0.575 0.894 0.133 0.506 0.406 0.133 0.4 0
 3 2.2558418068221487E7 0.74 0.74 1 0 0.979 0.645 0.575 0.894 0.133 0.506 0.406 0.133 0.4 0
 4 4.0223307112945296E7 0.78 0.78 1 1 0.713 0.8290000000000001 0.30899999999999994 1 0 0.6900000000000001 0.5690000000000001 0.29600000000000004 0.5630000000000001 0
 5 9218925.185088323 0.8200000000000001 0.8200000000000001 1 1 0.711 0.21000000000000002 0.040999999999999925 1 0 0.4989999999999999 0.040999999999999925 0.4989999999999999 0 0
 6 6715825.284781468 0.78 0.78 1 1 0.607 0.7230000000000001 0.6279999999999999 0.31899999999999995 1 0.609 0.609 0.894 0.609 0
 7 -560630.200000014 0.8200000000000001 0.8200000000000001 1 1 0.22699999999999998 0 0 0.646 0.41000000000000003 0.646 0.508 0.646 0.508 0
 8 2.7439679316798605E7 0.7 0.7 1 1 0.5229999999999999 0.547 0.026999999999999913 1 0.7959999999999999 0.11899999999999994 0.7959999999999999 0.026999999999999913 0.11899999999999994 0
 9 1.35128132993357E7 0.6599999999999999 0.6599999999999999 1 1 1 0.463 0.6679999999999999 0.758 0.962 1 0.962 0.8180000000000001 0.8180000000000001 0
 10 3.206057727668709E7 0.6599999999999999 0.6599999999999999 1 1 1 0.734 0.4689999999999999 1 1 0.8009999999999999 0.7629999999999999 1 1 0
