 "ticks" "state 0" "state 1" "state 2" "state 3" "state 4" "bioenergy success"
 0 8 14 6 8 14 25969.904999999995
 1 8 15 6 8 13 25800.876411281082
 2 8 15 5 9 13 25638.003569588316
 3 9 13 5 9 14 25291.77697159744
 4 7 13 6 9 15 25034.196135703787
 5 7 13 5 9 16 24823.160457123588
 6 6 15 5 9 15 24675.969212292715
 7 6 15 5 9 15 24479.001485464345
 8 7 14 5 9 15 24143.73643709865
 9 6 15 5 9 15 23936.591303179175
 10 6 14 6 10 14 23623.904269944273
 11 7 14 5 9 15 23329.22266161922
 12 8 13 5 9 15 23046.81575892996
 13 7 14 6 9 14 22593.518185261284
 14 7 14 5 9 15 22437.737131122114
 15 7 10 7 10 16 21965.78759529285
 16 6 15 6 9 14 21766.743020522197
 17 8 13 6 9 14 21334.038907248578
 18 7 13 6 11 13 20771.573056167792
 19 6 15 6 9 14 20503.855658563305
 20 7 14 6 9 14 20147.309244338463
 21 7 13 8 8 14 19628.00276678674
 22 7 14 7 8 14 19103.688306076732
 23 6 15 8 7 14 18782.44208627909
 24 7 13 6 8 16 18470.641885496105
 25 7 14 6 8 15 18044.11194800255
 26 7 13 7 8 15 17631.134275059347
 27 5 15 7 9 14 17368.162348795093
 28 7 13 6 9 15 16844.21010397252
 29 6 14 6 8 16 16664.975886728982
 30 5 15 7 8 15 16488.44538914866
 31 6 15 6 8 15 16137.472968877328
 32 8 13 6 8 15 15704.29068161909
 33 8 14 6 8 14 15330.882006433627
 34 6 14 7 9 14 15020.155779672878
 35 7 15 6 8 14 14775.033493803428
 36 7 14 7 8 14 14466.133088248975
 37 9 12 6 8 15 14151.453585877856
 38 8 14 6 8 14 13667.458941205412
 39 7 14 6 8 15 13320.701131976424
 40 8 14 6 8 14 13077.974525130901
 41 8 14 6 8 14 12689.799605969578
 42 8 14 6 8 14 12255.811630811668
 43 6 14 6 9 15 12132.983077042785
 44 8 14 5 9 14 11814.512782077645
 45 9 12 6 8 15 11347.722749899613
 46 8 14 5 8 15 11039.035958653598
 47 10 13 5 8 14 10491.503629252804
 48 8 13 6 9 14 10060.760554081771
 49 9 12 6 9 14 9647.228517478314
 50 9 12 6 9 14 9292.195336501065
 51 8 12 6 9 15 8903.721268293491
 52 8 13 6 9 14 8486.49690338811
 53 9 12 5 9 15 8014.513000198726
 54 9 13 6 8 14 7507.701075069279
 55 6 15 5 8 16 7363.118386888699
 56 8 13 5 8 16 7078.9871085020895
 57 7 14 5 8 16 6843.955392617382
 58 7 14 5 8 16 6559.046391973069
 59 6 13 6 8 17 6350.189060593534
 60 7 13 6 8 16 6012.966880511674
 61 6 13 7 8 16 5749.97371833174
 62 8 13 6 8 15 5306.665354501939
 63 7 12 7 9 15 4746.705207158729
 64 9 13 6 8 14 4221.543380923721
 65 6 15 7 8 14 3739.48046275685
 66 6 14 6 8 16 3387.3285075963427
 67 7 15 5 8 15 3252.920074991385
 68 8 13 6 8 15 2846.0518783291136
 69 7 14 6 8 15 2604.302816629173
 70 9 13 6 8 14 2269.538307112521
 71 8 11 6 8 17 1980.6441422218736
 72 7 13 6 8 16 1623.7919656947986
 73 7 13 6 8 16 1228.8264405030873
 74 7 14 5 8 16 974.1785427830395
 75 6 13 6 8 17 712.7503402332636
 76 8 12 6 8 16 323.5754247865319
 77 7 11 7 8 17 -162.71201490206062
 78 7 14 5 8 16 -445.7418573386665
 79 6 13 6 8 17 -740.0101213992946
 80 7 14 5 8 16 -1051.4951804290376
 81 7 14 5 9 15 -1361.0913072171952
 82 6 15 5 9 15 -1519.2222337989247
 83 7 15 5 9 14 -1911.661762482697
 84 8 12 6 9 15 -2402.8256299639693
 85 7 14 6 9 14 -2783.8293579450924
 86 7 12 6 9 16 -3065.7685606198725
 87 7 14 5 10 14 -3338.4052024399
 88 6 14 6 9 15 -3600.0256854728595
 89 8 12 6 9 15 -4014.1646425123536
 90 7 12 6 9 16 -4431.65534782529
