 "ticks" "state 0" "state 1" "state 2" "state 3" "state 4" "bioenergy success"
 0 5 9 8 13 15 26070.522999999997
 1 4 11 13 11 11 25196.831239983025
 2 8 11 8 12 11 24296.298305284687
 3 8 9 8 14 11 23402.35605983839
 4 4 16 9 12 9 22736.610305267608
 5 5 13 11 12 9 21924.57946787911
 6 5 12 13 10 10 20922.67054588748
 7 9 10 12 9 10 19723.25269951114
 8 10 9 13 8 10 18337.549760507547
 9 13 9 10 8 10 16926.61055879117
 10 13 7 9 11 10 15501.68034783834
 11 13 8 10 8 11 14006.996340069212
 12 8 11 10 11 10 12990.711974387305
 13 7 11 8 14 10 12123.787655186616
 14 7 12 9 11 11 11293.983086651333
 15 4 13 11 13 9 10605.923622448961
 16 6 13 10 10 11 9803.419891024829
 17 4 11 10 11 14 9089.021379425036
 18 5 11 11 11 12 8207.111104004754
 19 6 12 8 12 12 7462.798864237146
 20 6 12 7 12 13 6793.57864404765
 21 6 13 5 14 12 6322.717700526697
 22 4 14 6 13 13 5982.385770459078
 23 3 11 9 14 13 5456.359688650933
 24 4 11 8 12 15 4955.158720930973
 25 5 11 9 11 14 4166.294496040775
 26 7 13 9 9 12 3342.577487806525
 27 5 14 11 9 11 2453.484621646457
 28 6 14 11 9 10 1567.5206372007563
 29 8 13 13 7 9 327.5608818844619
 30 4 12 15 9 10 -699.7390636030477
 31 3 13 13 10 11 -1467.3956573452535
 32 3 14 11 12 10 -2103.082682687209
 33 3 16 11 10 10 -2825.744746260981
 34 3 14 12 10 11 -3687.009903192038
 35 4 15 12 10 9 -4519.428403415359
 36 3 15 11 9 12 -5234.202517809634
 37 5 12 12 11 10 -6091.0617463432145
 38 6 12 12 10 10 -6963.308038719688
 39 7 13 11 8 11 -7932.086530949676
 40 7 11 13 9 10 -9114.846281449061
 41 5 12 14 10 9 -10141.103606034945
 42 3 13 14 9 11 -11010.78979287056
 43 3 12 15 10 10 -11968.527809670426
 44 4 9 15 10 12 -13101.918650565918
 45 5 9 14 10 12 -14162.850833769788
 46 5 9 13 8 15 -15080.53624308094
 47 5 9 10 8 18 -15776.664056309733
 48 5 10 10 9 16 -16498.034252245012
 49 5 13 10 8 14 -17154.577687101824
 50 4 13 9 11 13 -17763.097697504123
 51 4 12 11 11 12 -18486.263414366127
 52 5 14 11 9 11 -19353.476878882746
 53 7 14 12 7 10 -20461.07260488217
 54 6 14 11 8 11 -21329.0387983085
 55 7 13 11 8 11 -22245.919808952967
 56 7 14 11 8 10 -23135.05551818504
 57 7 15 10 8 10 -24108.394363633775
 58 7 15 10 8 10 -24902.454587034597
 59 6 15 10 10 9 -25758.04453941372
 60 5 15 10 10 10 -26447.704087957834
 61 5 14 10 10 11 -27176.4017141802
 62 5 15 10 8 12 -27876.60616903572
 63 3 14 13 7 13 -28650.59197316904
 64 5 13 11 9 12 -29391.583295438923
 65 7 14 10 8 11 -30281.0998940059
 66 8 13 9 9 11 -31098.668090395702
 67 7 11 10 9 13 -31989.685194664657
 68 6 11 12 9 12 -32968.499054611166
 69 4 11 11 11 13 -33739.54126991631
 70 3 13 11 10 13 -34375.76424894775
 71 3 13 12 9 13 -35153.19004764004
 72 3 14 13 8 12 -35925.78328227379
 73 2 13 15 8 12 -36793.8968491012
 74 3 12 14 7 14 -37560.02964392027
 75 3 12 14 7 14 -38428.654346094554
 76 3 11 15 8 13 -39254.214737956616
 77 4 12 12 10 12 -39976.45207251489
 78 4 11 12 11 12 -40792.725905581734
 79 4 13 12 9 12 -41567.39112343953
 80 5 14 12 8 11 -42388.63268627233
 81 6 15 11 6 12 -43146.46214512008
 82 5 14 12 9 10 -43959.24046364867
 83 4 14 14 7 11 -44845.34194144579
 84 5 13 13 7 12 -45739.024406714976
 85 5 13 13 6 13 -46582.90985202978
 86 5 13 13 6 13 -47492.51721552998
 87 5 15 12 6 12 -48313.36542664934
 88 5 16 9 8 12 -48991.12878666077
 89 6 13 9 7 15 -49710.782963640384
 90 9 11 10 8 12 -50828.15070213079
 91 10 11 10 8 11 -52031.22526989565
 92 9 10 13 8 10 -53356.09525241696
 93 8 10 11 9 12 -54413.964302657674
 94 8 10 9 11 12 -55352.90964269136
 95 8 10 11 11 10 -56488.16034986358
 96 5 11 12 11 11 -57415.12713202637
 97 5 11 13 11 10 -58389.03931144593
 98 5 10 12 13 10 -59369.13283491717
 99 3 10 13 11 13 -60240.20428601698
 100 5 9 13 8 15 -61308.83452650917
 101 5 9 12 8 16 -62259.61746911063
 102 5 10 12 7 16 -63155.64289551893
 103 7 12 11 8 12 -64087.6338974936
 104 5 14 12 8 11 -64896.52378302428
 105 4 13 12 11 10 -65703.35153523805
 106 5 13 14 8 10 -66749.65716515633
 107 5 13 12 10 10 -67556.49030031245
 108 4 15 11 9 11 -68246.41475964127
 109 3 14 13 9 11 -69084.71890958313
 110 4 15 12 8 11 -69866.94854871622
 111 5 15 11 6 13 -70668.5403838939
 112 5 14 11 6 14 -71364.78669167586
 113 6 13 11 8 12 -72256.25808427551
 114 5 13 11 7 14 -72980.62266933291
 115 6 14 11 7 12 -73774.71942300127
 116 6 13 9 9 13 -74416.54563504469
