 "ticks" "state 0" "state 1" "state 2" "state 3" "state 4" "bioenergy success"
 0 12 12 9 5 12 25345.627499999995
 0 10 10 8 8 14 36289.34497014527
 1 6 11 7 10 16 47128.98489301545
 2 8 11 5 10 16 58532.222234033274
 3 7 11 6 10 16 69271.80613196197
 4 7 11 5 10 17 79563.25269766372
 5 7 11 6 10 16 90418.65027151728
 6 7 11 5 10 17 101246.85050813715
 7 7 12 6 10 15 112363.39914674265
 8 6 13 5 9 17 123851.66727438061
 9 6 12 6 10 16 134663.0978697274
 10 7 11 6 10 16 144942.56568602115
 11 7 11 5 10 17 155210.38703683316
 12 8 10 6 10 16 166055.16967409215
 13 8 12 5 9 16 178294.2911591471
 14 7 11 6 10 16 189580.65469895687
 15 8 11 5 10 16 200540.71965669113
 15 8 11 5 10 16 211898.16419670946
 15 8 11 5 10 16 223630.27766110317
 15 7 12 5 10 16 235382.55788347404
 16 7 12 5 10 16 247294.17497793303
 17 7 12 5 10 16 259427.6108354531
 18 7 11 6 10 16 271038.63050746766
 19 8 12 5 9 16 283398.30140329903
 20 7 11 6 10 16 294058.5877304842
 21 7 11 6 10 16 305915.99670789606
 22 7 11 6 10 16 317281.08122567483
 23 8 10 6 10 16 328618.1749259304
 24 7 11 6 10 16 339805.29412618635
 25 7 12 6 9 16 351911.4883420419
 26 7 11 6 10 16 362825.32568634616
 27 7 12 5 10 16 375052.3487433622
 28 6 12 6 10 16 387032.8208949906
 29 7 11 6 10 16 398353.3187018406
 30 10 9 5 10 16 410307.8798092931
 31 8 11 5 10 16 421880.62156881
 32 7 11 6 10 16 433438.8850190926
 33 7 11 6 10 16 445010.02984098886
 34 7 12 6 9 16 457114.2569599042
 35 7 12 5 10 16 468713.72976474866
 36 5 12 6 10 17 480422.3437956244
 37 8 11 5 10 16 492913.1183554808
 38 7 11 6 10 16 504503.6206315866
 39 8 12 5 9 16 516667.8580475795
 40 6 11 6 10 17 528508.8430665546
 41 7 11 6 10 16 539985.6375649795
 42 6 12 6 10 16 552315.4945272799
 43 7 11 6 10 16 563728.098457912
 44 7 12 6 9 16 576563.5663330528
 44 7 11 6 10 16 588280.5633633115
 44 7 11 6 10 16 600311.2287946355
 44 7 11 6 10 16 612474.5906953482
 45 8 10 6 10 16 623599.6620843776
 46 7 12 6 9 16 636658.677420892
 47 7 11 6 10 16 648376.9210630392
