 "year" "mean season Bio-E" "fcm convergence" "probability of mutation" "mutated?" "recombined?" "decay-rate" "energy-gain" "ndvi-weight" "caribou-veg-factor" "caribou-rough-factor" "caribou-insect-factor" "caribou-modifier-factor" "caribou-deflection-factor" "caribou-precip-factor" "solution success"
 77 -438088.7284999956 0.30000000000000004 0.24084147621787327 0 0 0.3379999999999999 0 0.236 0 0.33899999999999997 0.0020000000000000018 0 0 0.30300000000000005 0.02831704756425346
 78 -449423.73399999586 0.4 0.33018938780206974 0 0 0.3379999999999999 0 0.236 0 0.33899999999999997 0.0020000000000000018 0 0 0.30300000000000005 0.01962122439586056
 79 -430896.5539999935 0.38 0.30608268277713596 1 1 0.3379999999999999 0 0.236 0 0.33899999999999997 0.0020000000000000018 0 0 0.30300000000000005 0.033834634445728096
 80 -412285.4859999971 0.4 0.3159437997698494 0 0 0.2149999999999999 0 0.26 0 1 0.623 0 0.35800000000000004 0.10400000000000004 0.0481124004603013
 81 -415376.0839999968 0.26 0.19812929957805794 1 1 0.2149999999999999 0 0.26 0 1 0.623 0 0.35800000000000004 0.10400000000000004 0.04574140084388412
 82 -412308.3689999971 0.24 0.1799525772919053 0 0 0.2709999999999999 0 0.08299999999999996 0.20899999999999996 0.8759999999999999 0.9249999999999999 0 0.181 0.436 0.04809484541618936
 83 -419447.08100000105 0.30000000000000004 0.23369086344457274 1 0 0.2709999999999999 0 0.08299999999999996 0.20899999999999996 0.8759999999999999 0.9249999999999999 0 0.181 0.436 0.04261827311085453
 84 -426640.92479049624 0.30000000000000004 0.2364502971962011 0 0 0.45599999999999996 0.43700000000000006 0.22199999999999998 0.348 1 1 0.139 0.6180000000000001 0.873 0.037099405607597835
 85 -429684.2692979816 0.4 0.32261767138395925 0 0 0.45599999999999996 0.43700000000000006 0.22199999999999998 0.348 1 1 0.139 0.6180000000000001 0.873 0.03476465723208155
 86 -416305.38632040337 0.31999999999999995 0.2494857638359813 0 0 0.45599999999999996 0.43700000000000006 0.22199999999999998 0.348 1 1 0.139 0.6180000000000001 0.873 0.045028472328037306
 87 -430796.83879799524 0.33999999999999997 0.27204443375450527 0 0 0.45599999999999996 0.43700000000000006 0.22199999999999998 0.348 1 1 0.139 0.6180000000000001 0.873 0.033911132490989426
 88 -584014.1057830207 0.28 0.23800000000000002 1 0 0.45599999999999996 0.43700000000000006 0.22199999999999998 0.348 1 1 0.139 0.6180000000000001 0.873 0
 89 -434016.88071498804 0.26 0.20527958600498195 0 0 0.5229999999999999 0.5740000000000001 0.20499999999999996 0.4149999999999999 0.983 1 0.20599999999999996 0.6010000000000001 1 0.03144082799003611
 90 -575171.2682444566 0.24 0.204 0 0 0.5229999999999999 0.5740000000000001 0.20499999999999996 0.4149999999999999 0.983 1 0.20599999999999996 0.6010000000000001 1 0
 91 -554698.1408034482 0.24 0.204 0 0 0.5229999999999999 0.5740000000000001 0.20499999999999996 0.4149999999999999 0.983 1 0.20599999999999996 0.6010000000000001 1 0
 92 -384480.3413526081 0.28 0.2032782283669383 0 0 0.5229999999999999 0.5740000000000001 0.20499999999999996 0.4149999999999999 0.983 1 0.20599999999999996 0.6010000000000001 1 0.06944354326612345
 93 -389838.8238329299 0.36 0.2733336493413617 0 0 0.5229999999999999 0.5740000000000001 0.20499999999999996 0.4149999999999999 0.983 1 0.20599999999999996 0.6010000000000001 1 0.06533270131727664
 94 -381514.87185256626 0.33999999999999997 0.2531407256818436 0 0 0.5229999999999999 0.5740000000000001 0.20499999999999996 0.4149999999999999 0.983 1 0.20599999999999996 0.6010000000000001 1 0.07171854863631277
 95 -390751.39633298776 0.31999999999999995 0.23968369633026 1 0 0.5229999999999999 0.5740000000000001 0.20499999999999996 0.4149999999999999 0.983 1 0.20599999999999996 0.6010000000000001 1 0.06463260733947995
 96 -541203.5653027107 0.28 0.23800000000000002 0 0 0.821 0.678 0.371 0.713 1 1 0.372 0.8990000000000001 1 0
 97 -393855.8717911102 0.33999999999999997 0.2578745192907979 0 0 0.821 0.678 0.371 0.713 1 1 0.372 0.8990000000000001 1 0.06225096141840414
 98 -551020.7607679283 0.36 0.306 0 0 0.821 0.678 0.371 0.713 1 1 0.372 0.8990000000000001 1 0
 99 -396404.49477941374 0.30000000000000004 0.22485212688124812 0 0 0.821 0.678 0.371 0.713 1 1 0.372 0.8990000000000001 1 0.06029574623750378
 100 -395938.10927948833 0.30000000000000004 0.22467322948963886 0 0 0.821 0.678 0.371 0.713 1 1 0.372 0.8990000000000001 1 0.06065354102072229
 101 -388457.41580269625 0.42000000000000004 0.32380376517172854 0 0 0.821 0.678 0.371 0.713 1 1 0.372 0.8990000000000001 1 0.066392469656543
 102 -389488.0748026765 0.31999999999999995 0.23919910809462075 0 0 0.821 0.678 0.371 0.713 1 1 0.372 0.8990000000000001 1 0.06560178381075843
 103 -398108.92476786656 0.33999999999999997 0.2595059166735199 0 0 0.821 0.678 0.371 0.713 1 1 0.372 0.8990000000000001 1 0.05898816665296014
 104 -400863.3197562249 0.42000000000000004 0.32856245483552926 1 1 0.821 0.678 0.371 0.713 1 1 0.372 0.8990000000000001 1 0.05687509032894156
 105 -384382.95378836675 0.36 0.2712408721857946 1 0 0.588 0.727 0.21999999999999997 0.23399999999999999 0.05699999999999994 0.21199999999999997 0.19599999999999995 0 0.02100000000000002 0.06951825562841074
 106 -406011.6868380156 0.36 0.2795372791860435 0 0 0.729 0.43 0.5469999999999999 0 0 0.353 0.33699999999999997 0.32699999999999996 0.348 0.05292544162791302
 107 -399844.72884537175 0.36 0.27717174102239034 1 0 0.729 0.43 0.5469999999999999 0 0 0.353 0.33699999999999997 0.32699999999999996 0.348 0.05765651795521931
 108 -394690.4048171264 0.4 0.3091946316904973 0 0 0.79 0.534 0.6509999999999999 0.22399999999999998 0.061000000000000054 0.45699999999999996 0.398 0.5509999999999999 0.572 0.0616107366190054
 109 -388553.39981711766 0.33999999999999997 0.25584058297549583 0 0 0.79 0.534 0.6509999999999999 0.22399999999999998 0.061000000000000054 0.45699999999999996 0.398 0.5509999999999999 0.572 0.06631883404900829
 110 -390629.01180798025 0.26 0.18863675174836222 0 0 0.79 0.534 0.6509999999999999 0.22399999999999998 0.061000000000000054 0.45699999999999996 0.398 0.5509999999999999 0.572 0.06472649650327555
 111 -384429.0943262648 0.30000000000000004 0.22025857089615064 0 0 0.79 0.534 0.6509999999999999 0.22399999999999998 0.061000000000000054 0.45699999999999996 0.398 0.5509999999999999 0.572 0.06948285820769873
 112 -389603.16880798497 0.36 0.27324325615956463 0 0 0.79 0.534 0.6509999999999999 0.22399999999999998 0.061000000000000054 0.45699999999999996 0.398 0.5509999999999999 0.572 0.06551348768087073
 113 -388543.15531714447 0.4 0.30683665336292465 0 0 0.79 0.534 0.6509999999999999 0.22399999999999998 0.061000000000000054 0.45699999999999996 0.398 0.5509999999999999 0.572 0.06632669327415075
 114 -385441.05982630275 0.31999999999999995 0.23764674331657182 0 0 0.79 0.534 0.6509999999999999 0.22399999999999998 0.061000000000000054 0.45699999999999996 0.398 0.5509999999999999 0.572 0.06870651336685629
 115 -384465.3928354781 0.36 0.2712724943749437 1 1 0.79 0.534 0.6509999999999999 0.22399999999999998 0.061000000000000054 0.45699999999999996 0.398 0.5509999999999999 0.572 0.06945501125011255
 116 -385479.2239830604 0.33999999999999997 0.25466138242541636 1 0 0.5289999999999999 0.05499999999999999 0 0.14900000000000002 0.66 0.16700000000000004 1 0.5800000000000001 0.879 0.06867723514916724
 117 -383445.02041372197 0.4 0.3048810972051101 0 0 0.578 0.27999999999999997 0.22499999999999998 0.19800000000000006 0.7090000000000001 0.392 0.9550000000000001 0.5350000000000001 0.8340000000000001 0.07023780558977988
 118 -367914.5299328752 0.31999999999999995 0.23092387032331219 0 0 0.578 0.27999999999999997 0.22499999999999998 0.19800000000000006 0.7090000000000001 0.392 0.9550000000000001 0.5350000000000001 0.8340000000000001 0.08215225935337556
 119 -374109.673423285 0.42000000000000004 0.3183002199552302 1 0 0.578 0.27999999999999997 0.22499999999999998 0.19800000000000006 0.7090000000000001 0.392 0.9550000000000001 0.5350000000000001 0.8340000000000001 0.07739956008953963
 120 -364822.1084178362 0.4 0.29773767104635074 0 0 0.6669999999999999 0.36899999999999994 0.14499999999999996 0.11800000000000005 0.8900000000000001 0.5730000000000001 0.875 0.6240000000000001 1 0.08452465790729857
 121 -364823.3194178326 0.38 0.2807381355649531 0 0 0.6669999999999999 0.36899999999999994 0.14499999999999996 0.11800000000000005 0.8900000000000001 0.5730000000000001 0.875 0.6240000000000001 1 0.08452372887009385
 122 -361722.448924154 0.42000000000000004 0.31354869540627317 1 0 0.6669999999999999 0.36899999999999994 0.14499999999999996 0.11800000000000005 0.8900000000000001 0.5730000000000001 0.875 0.6240000000000001 1 0.08690260918745374
 123 -516377.27087843465 0.31999999999999995 0.27199999999999996 1 0 0.836 0.546 0.5149999999999999 0.2950000000000001 1 0.7420000000000001 1 0.7930000000000001 1 0
 124 -361728.4619023639 0.31999999999999995 0.2285510018804618 0 0 0.581 0.47500000000000003 0.4439999999999999 0.14300000000000007 0.929 0.4870000000000001 0.745 0.6410000000000001 0.848 0.08689799623907635
 125 -531952.7468535915 0.33999999999999997 0.289 0 0 0.581 0.47500000000000003 0.4439999999999999 0.14300000000000007 0.929 0.4870000000000001 0.745 0.6410000000000001 0.848 0
 126 -851681.2468129045 0.36 0.306 1 0 0.581 0.47500000000000003 0.4439999999999999 0.14300000000000007 0.929 0.4870000000000001 0.745 0.6410000000000001 0.848 0
 127 -706321.1997255791 0.33999999999999997 0.289 1 0 1 0.641 0.3299999999999999 0.3090000000000001 0.8150000000000001 0.926 0.911 0.5270000000000001 1 0
 128 -1016638.007389028 0.26 0.221 0 0 1 0.24 0.06699999999999989 0.7650000000000001 1 0.525 0.648 0.2640000000000001 0.599 0
 129 -1181424.2793725955 0.31999999999999995 0.27199999999999996 0 0 1 0.24 0.06699999999999989 0.7650000000000001 1 0.525 0.648 0.2640000000000001 0.599 0
 130 -1471493.8738890106 0.26 0.221 0 0 1 0.24 0.06699999999999989 0.7650000000000001 1 0.525 0.648 0.2640000000000001 0.599 0
 131 -1007358.8914013368 0.28 0.23800000000000002 1 0 1 0.24 0.06699999999999989 0.7650000000000001 1 0.525 0.648 0.2640000000000001 0.599 0
 132 -838266.3417617986 0.36 0.306 0 0 0.906 0.732 0 0.6710000000000002 0.9490000000000001 0.47400000000000003 0.597 0.7560000000000001 1 0
 133 -547445.671711698 0.33999999999999997 0.289 0 0 0.906 0.732 0 0.6710000000000002 0.9490000000000001 0.47400000000000003 0.597 0.7560000000000001 1 0
 134 -544264.6582242084 0.26 0.221 0 0 0.906 0.732 0 0.6710000000000002 0.9490000000000001 0.47400000000000003 0.597 0.7560000000000001 1 0
 135 -553651.031686604 0.38 0.323 0 0 0.906 0.732 0 0.6710000000000002 0.9490000000000001 0.47400000000000003 0.597 0.7560000000000001 1 0
 136 -401992.2586866404 0.38 0.2949954962357655 1 0 0.906 0.732 0 0.6710000000000002 0.9490000000000001 0.47400000000000003 0.597 0.7560000000000001 1 0.056009007528469046
 137 -398889.5785890611 0.28 0.20880536194440405 0 0 0.748 1 0.488 0.6960000000000002 0.7910000000000001 0.962 0.439 0.7810000000000001 1 0.058389276111191935
 138 -388549.85065749375 0.26 0.18783922157939922 0 0 0.748 1 0.488 0.6960000000000002 0.7910000000000001 0.962 0.439 0.7810000000000001 1 0.06632155684120156
 139 -390593.08765752503 0.36 0.27362297186709816 1 1 0.748 1 0.488 0.6960000000000002 0.7910000000000001 0.962 0.439 0.7810000000000001 1 0.06475405626580366
 140 -404003.7192768833 0.33999999999999997 0.26176705764360686 1 0 0.769 0.5429999999999999 0.516 0.23900000000000016 0.8190000000000002 0.983 0.46 0.8090000000000002 0.5429999999999999 0.05446588471278624
 141 -412275.68591077236 0.36 0.28194004062553596 1 0 0.998 0.19299999999999995 0.525 0.24800000000000016 1 0.633 0.46900000000000003 1 0.19299999999999995 0.04811991874892807
 142 -399916.02038656926 0.31999999999999995 0.24319908722154548 0 0 1 0.2759999999999999 0.931 0.6540000000000001 0.524 0.15700000000000003 0.875 0.524 0.2759999999999999 0.05760182555690896
 143 -401984.43638184847 0.21999999999999997 0.15899249573526983 1 0 1 0.2759999999999999 0.931 0.6540000000000001 0.524 0.15700000000000003 0.875 0.524 0.2759999999999999 0.056015008529460286
 144 -556650.6999999938 0.21999999999999997 0.18699999999999997 1 0 1 0 0.8260000000000001 0.5490000000000002 0.41900000000000004 0.524 0.494 0.14300000000000002 0.6429999999999999 0
 145 -417471.3482652548 0.19999999999999996 0.14793300662265238 0 0 1 0.45699999999999996 1 0.8250000000000002 0.876 0.275 0.245 0.41900000000000004 0.3939999999999999 0.044133986754695154
 146 -408193.41528869583 0.31999999999999995 0.24637415239305555 0 0 1 0.45699999999999996 1 0.8250000000000002 0.876 0.275 0.245 0.41900000000000004 0.3939999999999999 0.05125169521388884
 147 -401994.0683043538 0.31999999999999995 0.2439961903737452 0 0 1 0.45699999999999996 1 0.8250000000000002 0.876 0.275 0.245 0.41900000000000004 0.3939999999999999 0.05600761925250952
 148 -405179.3132965295 0.31999999999999995 0.2452179951271689 0 0 1 0.45699999999999996 1 0.8250000000000002 0.876 0.275 0.245 0.41900000000000004 0.3939999999999999 0.05356400974566211
 149 -420576.4362574166 0.26 0.20012406454062778 0 0 1 0.45699999999999996 1 0.8250000000000002 0.876 0.275 0.245 0.41900000000000004 0.3939999999999999 0.04175187091874444
 150 -411273.8107809081 0.33999999999999997 0.2645557386961672 0 0 1 0.45699999999999996 1 0.8250000000000002 0.876 0.275 0.245 0.41900000000000004 0.3939999999999999 0.04888852260766552
 151 -423661.64774961973 0.31999999999999995 0.2523074981778365 0 0 1 0.45699999999999996 1 0.8250000000000002 0.876 0.275 0.245 0.41900000000000004 0.3939999999999999 0.039385003644326955
 152 -417477.97376524104 0.31999999999999995 0.24993554804957457 0 0 1 0.45699999999999996 1 0.8250000000000002 0.876 0.275 0.245 0.41900000000000004 0.3939999999999999 0.04412890390085078
 153 -411281.03478089435 0.28 0.2135585096973128 1 0 1 0.45699999999999996 1 0.8250000000000002 0.876 0.275 0.245 0.41900000000000004 0.3939999999999999 0.04888298060537444
 154 -408174.13721338875 0.31999999999999995 0.24636675765760974 1 1 1 0.62 1 0.9880000000000002 0.637 0.03600000000000003 0.613 0.18000000000000005 0.7619999999999999 0.051266484684780456
