 "ticks" "state 0" "state 1" "state 2" "state 3" "state 4" "bioenergy success"
 0 6 8 7 14 15 26072.930999999997
 1 7 6 7 14 16 32177.241997913607
 2 6 7 5 14 18 38198.234886569866
 3 7 6 5 15 17 43662.737697699136
 4 6 6 5 15 18 50132.62260102992
 5 6 6 5 15 18 56210.38077998064
 6 6 6 5 15 18 62261.69391916333
 7 6 6 5 15 18 68786.36202705874
 8 6 6 6 15 17 75211.73645415383
 9 7 5 6 15 17 81697.80087091673
 10 7 5 5 15 18 87906.34518211048
 11 6 6 6 15 17 93858.12024761521
 12 7 5 5 15 18 100422.13636249209
 13 7 6 4 15 18 106742.17279403536
 14 7 5 5 15 18 112845.94969204356
 15 7 7 4 15 17 119390.53855127096
 16 7 6 5 15 17 125637.60933687685
 17 7 6 4 15 18 131838.71563276564
 18 7 5 4 15 19 138453.29858352765
 19 7 5 4 15 19 144358.07723041566
 20 6 5 5 15 19 150591.1802324342
 21 6 6 5 15 18 156857.2167578803
 22 7 5 4 15 19 162812.83840588777
 23 7 5 4 15 19 169398.2493129659
 24 7 5 5 15 18 175723.69102688163
 25 7 5 5 15 18 182391.13927171606
 26 6 5 6 15 18 188801.04198234514
 27 6 5 6 15 18 194782.78811528484
 28 6 6 4 15 19 201200.84420887526
 29 7 6 4 14 19 207589.807060966
 30 7 5 5 14 19 214276.91114228693
 31 7 5 5 14 19 221193.83684167612
 32 7 5 5 13 20 228325.30869925008
 33 6 7 4 14 19 235693.73043504794
 34 7 5 4 15 19 242641.5082458511
 35 7 4 5 15 19 249662.83182597422
 36 6 6 5 14 19 256794.9581170815
 37 7 4 5 15 19 263741.05348932004
 38 6 6 6 14 18 270460.73818286153
 39 7 5 6 14 18 277763.621984402
 40 6 6 6 14 18 284817.5806080068
 41 6 5 6 15 18 290491.45752186584
 42 6 6 4 15 19 296930.12144421105
 43 7 5 4 15 19 303083.4211592552
 44 6 7 5 14 18 309599.9648003563
 45 6 6 5 14 19 315696.348930935
 46 7 5 5 14 19 321390.3654073545
 47 6 6 5 14 19 328549.6513092298
 48 7 5 5 14 19 335190.6796960453
 49 6 7 4 14 19 341590.4904894324
 50 7 6 4 14 19 348204.1442069981
 51 7 6 5 14 18 355114.47004442033
 52 6 7 5 14 18 361994.8563597835
 53 7 6 5 14 18 369399.7172488135
 54 7 7 4 14 18 376717.79807431163
 55 6 7 5 14 18 383744.15037762275
 56 7 6 5 14 18 391086.1229717366
 57 6 6 6 14 18 398068.5161836797
 58 8 6 3 14 19 404505.5683338717
 59 6 7 4 14 19 411262.39882559696
 60 6 7 4 14 19 418015.13122864487
 61 6 8 3 14 19 425382.2901966173
 62 6 7 5 14 18 432422.52897160203
 63 6 8 4 14 18 440128.5483185415
 64 6 6 7 13 18 447370.9666193667
 65 6 6 7 14 17 454303.02432222024
 66 6 7 5 14 18 460923.4538938541
 67 6 7 4 14 19 468133.9288599411
 68 7 6 4 15 18 475000.1058215126
 69 7 5 5 15 18 481957.20653278346
 70 6 6 5 15 18 488324.9864044617
 71 6 6 5 15 18 495341.79142576904
 72 6 6 5 15 18 502118.4321310192
 73 6 5 6 15 18 508738.2666379765
 74 6 4 9 15 16 514826.07362961536
 75 6 6 5 15 18 521507.41257074126
 76 6 6 5 15 18 528705.9362631744
 77 7 5 5 15 18 535201.0500967184
 78 6 6 5 15 18 542409.4806056059
 79 6 5 6 15 18 549228.1502622038
 80 6 5 6 15 18 555576.894367186
 81 6 6 5 15 18 562030.6171494079
 82 6 7 4 15 18 569145.8514144827
 83 7 5 5 15 18 575600.3280484616
 84 7 6 4 15 18 581941.0331308797
 85 7 5 5 15 18 588352.4618340756
 86 7 5 5 15 18 594570.7990520288
 87 6 6 5 15 18 601470.314017823
 88 7 5 5 15 18 608059.4972866849
 89 6 6 5 15 18 614298.2177098203
 90 6 6 5 15 18 620871.8207869071
 91 6 6 5 15 18 627127.5206903261
 92 6 6 5 15 18 633980.6731163112
 93 7 5 5 15 18 640147.3156379028
 94 6 7 4 15 18 646595.2249865046
 95 6 7 4 14 19 653415.6511347255
 96 7 6 4 15 18 660139.1321290289
 97 6 6 5 15 18 667174.7387680024
 98 7 5 5 15 18 673709.736635736
 99 6 6 5 15 18 680699.5952778391
 100 6 6 5 15 18 687365.6324834313
 101 7 5 5 15 18 693432.2900902696
 102 6 4 6 16 18 699645.2082723555
 103 6 4 6 16 18 706062.7351641564
 104 6 5 6 16 17 712250.2405732103
 105 6 5 6 16 17 718708.1841696545
 106 7 4 5 16 18 725298.4407521825
 107 7 5 5 15 18 732271.1149962342
 108 7 4 6 15 18 739078.3489596539
 109 7 4 6 15 18 745696.9139163941
 110 6 6 5 15 18 752014.5201712061
 111 7 5 5 15 18 758785.405954768
 112 6 6 5 15 18 765049.8813115171
 113 6 6 5 15 18 771729.5588336582
 114 6 6 5 15 18 778155.3278993468
 115 7 5 6 15 17 784825.5716217016
 116 6 5 7 15 17 791812.599686843
 117 6 5 8 15 16 798699.8204099053
 118 6 5 7 15 17 805111.6547407333
 119 6 6 6 15 17 811878.1855241492
 120 6 6 6 15 17 818643.0889438435
 121 6 6 5 15 18 825722.7188076556
 122 7 5 5 15 18 831860.5374697347
 123 6 6 5 15 18 838073.1230387873
 124 6 6 5 15 18 844693.869316218
 125 6 7 4 14 19 851704.6192120042
 126 7 5 5 15 18 858294.3925468546
 127 6 6 5 15 18 864641.4186897003
 128 6 6 5 15 18 871304.514353678
 129 6 5 5 16 18 878164.213057139
 130 7 4 5 16 18 883822.2318249033
 131 7 4 5 16 18 889976.2677925824
 132 6 6 5 15 18 896862.8758008374
 133 7 4 6 16 17 903001.2967004427
 134 7 6 4 15 18 909860.5365293542
 135 7 5 4 16 18 915835.9628397402
 136 6 5 5 16 18 922654.7415797568
 137 7 4 5 16 18 929400.3105990294
 138 7 5 5 15 18 936076.0831633423
 139 7 4 5 16 18 942538.1380748433
 140 7 4 6 15 18 949310.7925825838
 141 6 5 5 16 18 956053.1539616354
 142 7 3 6 16 18 962701.7432699011
 143 6 4 6 16 18 969465.9964506094
 144 6 5 5 16 18 976955.7410161357
 145 6 6 6 15 17 984131.4657905905
 146 7 3 6 16 18 990928.6448993618
 147 6 4 7 16 17 998292.497589377
 148 6 4 7 16 17 1005445.3084653722
 149 6 5 6 16 17 1012929.4833033826
 150 6 4 7 16 17 1020578.8532795394
 151 6 4 7 16 17 1027517.167347994
 152 6 6 6 15 17 1034588.2887031883
 153 7 4 6 15 18 1041250.8374661874
 154 6 6 6 15 17 1048291.6948071346
 155 6 6 4 16 18 1055167.620475981
 156 6 5 5 16 18 1062650.4549761794
 157 6 6 5 16 17 1070175.0634835388
 158 6 5 5 16 18 1077614.4719177913
 159 7 4 5 16 18 1084550.7627839826
 160 7 4 5 16 18 1091565.087866173
 161 6 5 6 15 18 1098658.4532654556
 162 6 6 5 15 18 1106370.739481069
 163 6 4 6 16 18 1112932.2968756547
 164 6 4 6 16 18 1119934.9518919478
 165 7 4 5 16 18 1126992.748472126
 166 7 3 6 16 18 1134099.6523841028
 167 7 4 5 16 18 1141479.6019984414
 168 6 4 6 16 18 1148590.0671468028
 169 6 5 5 16 18 1155632.8520669462
 170 7 5 5 15 18 1162344.745082134
 171 6 7 5 15 17 1169505.5428449113
 172 6 5 6 15 18 1176720.2085086561
 173 6 5 5 16 18 1183679.1934530763
 174 7 4 5 16 18 1190757.617128008
 175 6 5 5 16 18 1197812.032937326
 176 7 3 6 16 18 1205027.7485945579
 177 7 5 5 15 18 1212236.8117492064
 178 6 5 6 15 18 1219017.7887814532
 179 6 5 5 16 18 1226083.8631869182
 180 6 5 5 16 18 1232972.8413300198
 181 6 5 5 16 18 1239927.839442851
 182 6 5 6 16 17 1246994.3913423202
 183 6 5 6 15 18 1253973.6854491986
 184 6 7 4 15 18 1261553.0230311188
 185 6 6 5 15 18 1268553.8757713158
 186 6 4 5 16 19 1275508.0692243276
 187 6 5 4 16 19 1282472.2613710565
 188 6 5 5 16 18 1289425.0120384882
 189 6 5 4 16 19 1296768.4170958684
 190 6 5 4 16 19 1303379.6746084385
 191 6 6 5 15 18 1310404.2802005447
 192 6 5 5 16 18 1317697.7135666332
 193 6 4 6 16 18 1324476.5816699343
 194 6 5 4 16 19 1331705.077599297
 195 6 5 4 16 19 1338650.5202989196
 196 6 6 6 15 17 1345863.3706850167
 197 6 4 6 16 18 1352468.4643978265
 198 7 6 4 15 18 1359843.3997796169
 199 6 5 5 16 18 1366679.281939596
 200 6 5 4 16 19 1373764.034162498
 201 6 5 5 15 19 1380499.8916151207
 202 7 5 4 15 19 1387251.3991184884
 203 6 7 3 15 19 1394040.8382041573
 204 6 7 3 15 19 1401116.8926084586
 205 6 5 4 16 19 1408090.6970150415
 206 5 5 4 16 20 1415313.1610355529
 207 7 3 5 16 19 1421916.4667241746
 208 7 5 5 15 18 1428883.4744700692
 209 6 6 5 15 18 1435514.5270043062
 210 7 5 3 16 19 1442355.915553645
 211 6 5 5 16 18 1449013.2619317851
 212 7 4 5 16 18 1455374.689038161
 213 6 4 6 15 19 1462446.8699274152
 214 6 4 5 16 19 1469189.090882046
 215 6 5 5 15 19 1475532.723525705
 216 6 6 3 16 19 1481863.7239712612
 217 6 5 4 16 19 1488421.608196409
 218 7 5 4 15 19 1495822.0279423697
 219 7 4 4 16 19 1502621.0911056737
 220 7 3 5 16 19 1509003.4303445527
 221 6 5 4 16 19 1515861.060516102
 222 7 4 4 16 19 1522611.9248702005
 223 7 4 4 16 19 1529285.4709542757
 224 6 6 4 15 19 1536836.2027543571
 225 6 5 4 16 19 1543879.2919888604
 226 6 5 4 16 19 1550776.5678882762
 227 6 6 4 15 19 1558028.0425141356
 228 6 6 4 15 19 1565359.5484776935
 229 6 6 4 15 19 1572512.7929566293
 230 6 6 4 15 19 1579384.494952798
 231 6 6 5 15 18 1586523.080599302
 232 6 5 5 15 19 1593888.907141366
 233 7 5 4 15 19 1600706.3832180554
 234 6 7 4 15 18 1607496.8647138623
 235 6 7 4 15 18 1614444.7737387405
 236 7 5 4 16 18 1621273.9081172163
 237 6 6 4 16 18 1628507.4887242832
 238 6 6 4 16 18 1635809.6187035302
 239 7 6 4 14 19 1642983.8118583031
 240 6 7 5 15 17 1649927.0400785557
 241 6 6 5 15 18 1655882.3945333231
 242 6 8 4 14 18 1662209.3383584095
 243 7 5 4 15 19 1669057.0865483114
 244 7 3 5 16 19 1675486.4509370294
 245 7 3 5 16 19 1681623.239993541
 246 7 4 5 16 18 1688658.865381474
 247 6 4 6 16 18 1695463.8354919981
 248 7 4 5 16 18 1701869.480866628
 249 6 5 5 16 18 1708460.9031064892
 250 6 4 6 16 18 1714813.3405565321
 251 6 5 6 15 18 1721661.3163589286
 252 6 5 6 15 18 1728154.4769150177
 253 6 6 5 14 19 1734552.6467988372
 254 6 7 4 15 18 1740984.3683480313
 255 6 7 3 15 19 1747845.9318371254
 256 7 4 5 16 18 1754668.7021138084
 257 7 5 5 15 18 1761485.2290646702
 258 6 6 4 15 19 1768761.5528855026
 259 6 5 5 16 18 1775801.4270871445
 260 6 4 6 16 18 1782863.6240117538
 261 7 4 6 15 18 1789962.726475411
 262 6 6 5 15 18 1796602.8561860127
 263 7 4 5 16 18 1802755.9226445577
 264 6 5 5 16 18 1809965.475762281
 265 7 4 5 16 18 1816779.771832416
 266 6 7 4 15 18 1823732.7898486885
 267 7 6 3 15 19 1831096.0022182977
 268 6 6 6 14 18 1838281.7293597516
 269 6 5 7 15 17 1845071.564531752
 270 6 5 7 15 17 1852520.6114113298
 271 6 6 7 15 16 1859687.1361656613
 272 7 6 5 15 17 1867016.363501176
 273 6 7 5 15 17 1873975.8272216397
 274 6 5 6 16 17 1881284.1547131592
 275 6 4 7 16 17 1888008.4967182984
 276 7 3 6 16 18 1894582.1577578636
 277 6 5 6 16 17 1900972.124133998
 278 7 7 3 15 18 1907253.0852380572
 279 6 7 4 15 18 1914353.3489862892
 280 7 6 4 15 18 1920952.5828035087
 281 6 5 5 15 19 1927665.6497321213
 282 7 6 4 15 18 1934223.749204789
 283 7 6 3 15 19 1940978.2994295754
 284 6 7 4 14 19 1948386.564300753
 285 6 6 4 15 19 1954602.6120067365
 286 6 6 4 15 19 1961530.3562776828
 287 7 6 5 15 17 1968488.7043489187
 288 6 6 6 15 17 1975030.5391153141
 289 6 7 5 15 17 1982101.4953236156
 290 6 7 4 15 18 1989016.9805260643
 291 6 5 5 15 19 1995798.192105538
 292 6 6 4 15 19 2001999.260472317
 293 6 7 3 15 19 2009144.4269554627
 294 6 5 5 15 19 2015821.570870755
 295 6 6 4 15 19 2022255.0901758699
 296 6 6 4 15 19 2028826.715924988
 297 6 5 5 15 19 2035531.7331967247
 298 6 6 4 15 19 2042317.714482829
 299 6 7 4 14 19 2049284.1685547957
 300 6 6 5 15 18 2056314.5234496486
 301 6 6 5 15 18 2062551.4415250611
 302 6 6 5 15 18 2069162.9963856088
 303 6 7 6 15 16 2076390.9233002823
 304 6 7 5 15 17 2083677.8776987798
 305 6 7 4 15 18 2090184.2766111589
 306 6 8 3 15 18 2097204.780587414
 307 7 7 3 15 18 2104138.9598839404
 308 6 6 4 15 19 2111735.946388852
 309 7 5 5 15 18 2118988.9340457385
 310 7 5 5 15 18 2126104.951429587
 311 7 5 5 15 18 2133279.594986817
 312 6 8 4 15 17 2140746.23815315
 313 6 8 4 14 18 2148462.371019294
 314 6 7 5 15 17 2155740.4418628793
 315 6 6 5 15 18 2163063.0245305677
 316 6 6 5 15 18 2169872.5577265806
 317 6 7 4 15 18 2177109.7735951412
 318 6 6 4 15 19 2183785.214163059
 319 6 5 4 16 19 2190488.9878373807
 320 6 4 5 16 19 2197171.4856832833
 321 6 5 4 16 19 2203833.985237227
 322 6 5 4 16 19 2210565.046846855
 323 7 4 5 15 19 2217340.828461091
 324 7 5 4 15 19 2224064.8610252216
 325 6 6 4 15 19 2231146.5662952024
 326 6 6 4 15 19 2237622.916314602
 327 6 6 4 15 19 2244487.8818949666
 328 6 6 4 14 20 2251076.609172612
 329 7 5 4 15 19 2257896.422610655
 330 7 5 4 15 19 2264737.3032929352
 331 6 5 4 16 19 2271724.694540132
 332 6 6 4 15 19 2278689.2940918566
 333 7 5 4 15 19 2285756.4028093973
 334 6 6 4 15 19 2292766.8841619627
 335 6 5 4 16 19 2299128.445658197
 336 6 4 6 16 18 2306014.7257484384
 337 6 5 5 16 18 2312798.0352014694
